char	mandarin	mandarin_initial	mandarin_final	mandarin_tone	cantonese	cantonese_initial	cantonese_final	cantonese_tone
𰠲	kēng	k	eng	1	hang1	h	ang	1
𰠹	pái	p	ai	2	bei1	b	ei	1
𰡄	lú	l	u	2	lou4	l	ou	4
𰡊	xiāo	x	iao	1	hiu1	h	iu	1
𰡎	lái	l	ai	2	loi4	l	oi	4
𰡏	wō	w	o	1	wo1	w	o	1
𰡔	chán	ch	an	2	caam4	c	aam	4
𰡞	bèn	b	en	4	ban6	b	an	6
𰡩	qí	q	i	2	kei4	k	ei	4
𰡵	lú	l	u	2	lou4	l	ou	4
𰡻	nǎo	n	ao	3	nou5	n	ou	5
𰡽	shú	sh	u	2	sau6	s	au	6
𰢄	sù	s	u	4	suk1	s	uk	1
𰢢	wǔ	w	u	3	mou5	m	ou	5
𰢤	yīng	y	ing	1	aang1		aang	1
𰢦	lǒu	l	ou	3	lau5	l	au	5
𰣬	jì	j	i	4	zek3	z	ek	3
𰣯	xián	x	ian	2	gaan2	g	aan	2
𰣶	tuí	t	ui	2	teoi4	t	eoi	4
𰣼	jī	j	i	1	zik1	z	ik	1
𰣽	luán	l	uan	2	lyun4	l	yun	4
𰤕	lì	l	i	4	lik6	l	ik	6
𰤨	tà	t	a	4	taat3	t	aat	3
𰤬	dú	d	u	2	duk6	d	uk	6
𰥊	kàn	k	an	4	ham3	h	am	3
𰥒	cōng	c	ong	1	cung1	c	ung	1
𰥛	fèn	f	en	4	fan3	f	an	3
𰥠	mǎn	m	an	3	maan5	m	aan	5
𰥢	xǐ	x	i	3	saai2	s	aai	2
𰥨	xián	x	ian	2	gaan3	g	aan	3
𰥪	guī	g	ui	1	kwai1	kw	ai	1
𰥹	tǎng	t	ang	3	tong2	t	ong	2
𰦜	bà	b	a	4	baa6	b	aa	6
𰦦	lì	l	i	4	lik6	l	ik	6
𰦨	huǐ	h	ui	3	wai2	w	ai	2
𰦭	lóng	l	ong	2	lung4	l	ung	4
𰦰	zé	z	e	2	zaak6	z	aak	6
𰦴	yā	y	a	1	aa1		aa	1
𰦷	láo	l	ao	2	lou4	l	ou	4
𰦾	yán	y	an	2	ngaam4	ng	aam	4
𰦿	tuó	t	uo	2	to4	t	o	4
𰧃	jiàn	j	ian	4	gaan3	g	aan	3
𰧇	xián	x	ian	2	jin4	j	in	4
𰧉	zhì	zh	i	4	zat1	z	at	1
𰧔	jiān	j	ian	1	laam4	l	aam	4
𰧘	zhū	zh	u	1	zyu1	z	yu	1
𰧰	yáng	y	ang	2	joeng4	j	oeng	4
𰧻	guì	g	ui	4	kui3	k	ui	3
𰧾	nóng	n	ong	2	nung4	n	ung	4
𰨖	tí	t	i	2	tai4	t	ai	4
𰨜	kuàng	k	uang	4	kong3	k	ong	3
𰨦	jì	j	i	4	zai6	z	ai	6
𰨳	zī	z	i	1	ci4	c	i	4
𰩅	lǒng	l	ong	3	lung1	l	ung	1
𰩏	tiǎo	t	iao	3	tiu5	t	iu	5
𰩓	chēng	ch	eng	1	cang1	c	ang	1
𰩧	xū	x	u	1	seoi1	s	eoi	1
𰩮	tuán	t	uan	2	tyun4	t	yun	4
𰩲	lú	l	u	2	lou4	l	ou	4
𰩸	jiāo	j	iao	1	giu1	g	iu	1
𰩹	dàng	d	ang	4	dong6	d	ong	6
𰩺	yuē	y	ue	1	ak1		ak	1
𰩻	zhuā	zh	ua	1	zaa1	z	aa	1
𰪊	zhōng	zh	ong	1	zung1	z	ung	1
𰪏	lù	l	u	4	lou6	l	ou	6
𰪣	yíng	y	ing	2	jing4	j	ing	4
𰪫	tuán	t	uan	2	tyun4	t	yun	4
𰪭	zhāng	zh	ang	1	zoeng1	z	oeng	1
𰪶	tuán	t	uan	2	tyun4	t	yun	4
𰫋	mén	m	en	2	mun4	m	un	4
𰫖	làn	l	an	4	laan6	l	aan	6
𰫼	zhěng	zh	eng	3	zang2	z	ang	2
𰫽	fóu	f	ou	2	fau4	f	au	4
𰬀	jì	j	i	4	gai3	g	ai	3
𰬅	fū	f	u	1	fu1	f	u	1
𰬆	qú	q	u	2	keoi4	k	eoi	4
𰬇	zhù	zh	u	4	zyu3	z	yu	3
𰬈	xián	x	ian	2	jin4	j	in	4
𰬉	tuó	t	uo	2	to4	t	o	4
𰬋	hóng	h	ong	2	wang4	w	ang	4
𰬌	gēng	g	eng	1	gang1	g	ang	1
𰬍	xié	x	ie	2	haap6	h	aap	6
𰬎	bì	b	i	4	bat1	b	at	1
𰬏	zhū	zh	u	1	zyu1	z	yu	1
𰬐	qiāo	q	iao	1	hiu1	h	iu	1
𰬑	zhēng	zh	eng	1	zang1	z	ang	1
𰬒	cì	c	i	4	ci3	c	i	3
𰬓	gāi	g	ai	1	goi1	g	oi	1
𰬔	bēng	b	eng	1	bang1	b	ang	1
𰬖	chéng	ch	eng	2	sing4	s	ing	4
𰬗	qiú	q	iu	2	kau4	k	au	4
𰬘	fú	f	u	2	fat1	f	at	1
𰬚	yún	y	un	2	wan4	w	an	4
𰬛	zhèn	zh	en	4	zi6	z	i	6
𰬜	miǎn	m	ian	3	man6	m	an	6
𰬞	qīn	q	in	1	cim1	c	im	1
𰬟	yù	y	u	4	wik6	w	ik	6
𰬠	huà	h	ua	4	waak6	w	aak	6
𰬡	qiè	q	ie	4	cap1	c	ap	1
𰬢	qī	q	i	1	cai1	c	ai	1
𰬣	xī	x	i	1	sik1	s	ik	1
𰬤	bì	b	i	4	bik1	b	ik	1
𰬥	zǒng	z	ong	3	zung2	z	ung	2
𰬧	tián	t	ian	2	taam1	t	aam	1
𰬩	xiù	x	iu	4	sau3	s	au	3
𰬪	shān	sh	an	1	saam1	s	aam	1
𰬫	zhì	zh	i	4	zi3	z	i	3
𰬬	miáo	m	iao	2	miu4	m	iu	4
𰬮	qiàn	q	ian	4	hin3	h	in	3
𰬯	zōng	z	ong	1	zung1	z	ung	1
𰬰	zǒng	z	ong	3	zung2	z	ung	2
𰬱	suǒ	s	uo	3	sok3	s	ok	3
𰬲	quán	q	uan	2	cyun4	c	yun	4
𰬳	nì	n	i	4	jik6	j	ik	6
𰬴	zài	z	ai	4	zoi2	z	oi	2
𰬵	xuàn	x	uan	4	syun6	s	yun	6
𰬷	sǎn	s	an	3	saan3	s	aan	3
𰬸	suì	s	ui	4	seoi6	s	eoi	6
𰬺	zūn	z	un	1	zeon1	z	eon	1
𰬻	yù	y	u	4	wat6	w	at	6
𰬽	xiè	x	ie	4	gaai3	g	aai	3
𰬿	pú	p	u	2	fuk6	f	uk	6
𰭀	yōu	y	ou	1	jau1	j	au	1
𰭄	guàn	g	uan	4	gun3	g	un	3
𰭔	juàn	j	uan	4	gyun3	g	yun	3
𰭢	shà	sh	a	4	saap3	s	aap	3
𰭣	dào	d	ao	4	dou6	d	ou	6
𰭹	lóng	l	ong	2	lung4	l	ung	4
𰮅	xiāng	x	iang	1	hoeng1	h	oeng	1
𰮇	hū	h	u	1	fu1	f	u	1
𰮙	zhù	zh	u	4	zo3	z	o	3
𰮝	xiāo	x	iao	1	hiu1	h	iu	1
𰮲	sōu	s	ou	1	sau1	s	au	1
𰯋	ní	n	i	2	nai4	n	ai	4
𰯎	mán	m	an	2	mun4	m	un	4
𰯲	jiān	j	ian	1	gaam1	g	aam	1
𰰋	shuāng	sh	uang	1	soeng1	s	oeng	1
𰰏	dài	d	ai	4	daai3	d	aai	3
𰰑	lóu	l	ou	2	lau4	l	au	4
𰰠	xù	x	u	4	zeoi6	z	eoi	6
𰰤	qiū	q	iu	1	jau1	j	au	1
𰰨	lún	l	un	2	leon4	l	eon	4
𰰱	duì	d	ui	4	deoi6	d	eoi	6
𰰳	shī	sh	i	1	si1	s	i	1
𰰴	qǐ	q	i	3	hei2	h	ei	2
𰰵	shā	sh	a	1	saat3	s	aat	3
𰰷	fù	f	u	4	fu6	f	u	6
𰰹	liú	l	iu	2	lau4	l	au	4
𰰺	shè	sh	e	4	cit3	c	it	3
𰰾	kē	k	e	1	gwo1	gw	o	1
𰱀	gòng	g	ong	4	gung3	g	ung	3
𰱇	jiān	j	ian	1	gaan1	g	aan	1
𰱈	yǒng	y	ong	3	wing6	w	ing	6
𰱉	méng	m	eng	2	mang4	m	ang	4
𰱌	nà	n	a	4	naap6	n	aap	6
𰱍	fén	f	en	2	fan4	f	an	4
𰱐	xù	x	u	4	zuk6	z	uk	6
𰱛	zhōng	zh	ong	1	zung1	z	ung	1
𰱟	fén	f	en	2	fan4	f	an	4
𰱩	lǘ	l	u	2	leoi4	l	eoi	4
𰱮	lǘ	l	u	2	leoi4	l	eoi	4
𰱯	bēi	b	ei	1	bei1	b	ei	1
𰱱	cí	c	i	2	ci4	c	i	4
𰱲	zhī	zh	i	1	zik1	z	ik	1
𰱾	lài	l	ai	4	laai6	l	aai	6
𰲁	tuí	t	ui	2	teoi4	t	eoi	4
𰲂	téng	t	eng	2	tang4	t	ang	4
𰲒	lèi	l	ei	4	leoi6	l	eoi	6
𰲟	wū	w	u	1	wu1	w	u	1
𰲠	zhàn	zh	an	4	zaan6	z	aan	6
𰲫	wú	w	u	2	mou4	m	ou	4
𰲬	chē	ch	e	1	ce1	c	e	1
𰲮	qiǎn	q	ian	3	hin2	h	in	2
𰲯	zōng	z	ong	1	zung1	z	ung	1
𰲰	lún	l	un	2	leon4	l	eon	4
𰲲	guǐ	g	ui	3	wai1	w	ai	1
𰲴	lóng	l	ong	2	lung4	l	ung	4
𰲵	zé	z	e	2	zaak6	z	aak	6
𰲶	xīng	x	ing	1	hing1	h	ing	1
𰲸	è		e	4	ok3		ok	3
𰲹	yǐ	y	i	3	ngai5	ng	ai	5
𰲻	dá	d	a	2	daat6	d	aat	6
𰳂	jiàn	j	ian	4	zim6	z	im	6
𰳄	chén	ch	en	2	can4	c	an	4
𰳊	féi	f	ei	2	fei4	f	ei	4
𰳗	yīng	y	ing	1	ang1		ang	1
𰳚	wèi	w	ei	4	wai6	w	ai	6
𰳲	lóng	l	ong	2	lung4	l	ung	4
𰳵	yì	y	i	4	ngai6	ng	ai	6
𰳸	duì	d	ui	4	deoi3	d	eoi	3
𰳺	nóng	n	ong	2	nung4	n	ung	4
𰳼	shī	sh	i	1	si1	s	i	1
𰴂	sēn	s	en	1	sam1	s	am	1
𰴕	miè	m	ie	4	pit3	p	it	3
𰴖	shào	sh	ao	4	siu6	s	iu	6
𰴘	jiàn	j	ian	4	gaan3	g	aan	3
𰴙	jūn	j	un	1	gwan1	gw	an	1
𰴚	lóu	l	ou	2	leoi5	l	eoi	5
𰴜	qū	q	u	1	ceoi3	c	eoi	3
𰴝	luó	l	uo	2	lo4	l	o	4
𰴞	qū	q	u	1	ceoi3	c	eoi	3
𰴢	lì	l	i	4	luk6	l	uk	6
𰴣	xué	x	ue	2	hok6	h	ok	6
𰴤	dǎi	d	ai	3	daai2	d	aai	2
𰴯	yíng	y	ing	2	jing4	j	ing	4
𰵊	jiào	j	iao	4	giu3	g	iu	3
𰵌	yáng	y	ang	2	joeng4	j	oeng	4
𰵍	zhùn	zh	un	4	zeon3	z	eon	3
𰵎	yóu	y	ou	2	jau4	j	au	4
𰵏	chāo	ch	ao	1	caau2	c	aau	2
𰵑	é		e	2	ngo4	ng	o	4
𰵒	chén	ch	en	2	sam4	s	am	4
𰵓	xù	x	u	4	seot1	s	eot	1
𰵔	yì	y	i	4	jai6	j	ai	6
𰵖	yì	y	i	4	ngai6	ng	ai	6
𰵗	yàng	y	ang	4	joeng3	j	oeng	3
𰵙	dié	d	ie	2	dit6	d	it	6
𰵚	líng	l	ing	2	ling4	l	ing	4
𰵛	gòu	g	ou	4	gau3	g	au	3
𰵜	táo	t	ao	2	tou4	t	ou	4
𰵝	hé	h	e	2	wo4	w	o	4
𰵞	yǒng	y	ong	3	wing6	w	ing	6
𰵠	náo	n	ao	2	naau4	n	aau	4
𰵡	kēng	k	eng	1	hang1	h	ang	1
𰵣	hé	h	e	2	hap6	h	ap	6
𰵤	è		e	4	ngaak6	ng	aak	6
𰵥	yí	y	i	2	ci4	c	i	4
𰵦	xiào	x	iao	4	haau6	h	aau	6
𰵧	zhì	zh	i	4	zi3	z	i	3
𰵨	zhān	zh	an	1	zim1	z	im	1
𰵩	bū	b	u	1	bou1	b	ou	1
𰵭	chán	ch	an	2	cim4	c	im	4
𰵮	é		e	2	ngo4	ng	o	4
𰵯	shuà	sh	ua	4	saa3	s	aa	3
𰵰	xìng	x	ing	4	hang6	h	ang	6
𰵱	chēn	ch	en	1	cam1	c	am	1
𰵲	qī	q	i	1	hei1	h	ei	1
𰵴	chù	ch	u	4	cuk1	c	uk	1
𰵵	nì	n	i	4	ngai6	ng	ai	6
𰵶	zhuì	zh	ui	4	zeoi3	z	eoi	3
𰵷	zhuó	zh	uo	2	zyut3	z	yut	3
𰵸	tà	t	a	4	daap6	d	aap	6
𰵹	niè	n	ie	4	zip3	z	ip	3
𰵺	yuán	y	uan	2	jyun4	j	yun	4
𰵼	huò	h	uo	4	waak6	w	aak	6
𰵽	tāo	t	ao	1	tou1	t	ou	1
𰵾	xǐ	x	i	3	hai5	h	ai	5
𰵿	hè	h	e	4	hok6	h	ok	6
𰶀	yú	y	u	2	jyu4	j	yu	4
𰶁	yí	y	i	2	ji4	j	i	4
𰶂	còng	c	ong	4	cung3	c	ung	3
𰶃	xí	x	i	2	zaap6	z	aap	6
𰶄	zhā	zh	a	1	zaa1	z	aa	1
𰶆	hàn	h	an	4	ham6	h	am	6
𰶇	tuō	t	uo	1	to1	t	o	1
𰶈	chí	ch	i	2	ci4	c	i	4
𰶉	tán	t	an	2	taan1	t	aan	1
𰶊	yī	y	i	1	ji1	j	i	1
𰶌	nòu	n	ou	4	nau6	n	au	6
𰶍	juàn	j	uan	4	gyun3	g	yun	3
𰶎	sè	s	e	4	sap1	s	ap	1
𰶏	yào	y	ao	4	jiu6	j	iu	6
𰶑	lóng	l	ong	2	lung4	l	ung	4
𰶔	dú	d	u	2	duk6	d	uk	6
𰶬	lóu	l	ou	2	lau4	l	au	4
𰷞	tè	t	e	4	tik1	t	ik	1
𰷠	yì	y	i	4	ji4	j	i	4
𰷡	wán	w	an	2	wun6	w	un	6
𰷢	chí	ch	i	2	ci4	c	i	4
𰷤	suì	s	ui	4	seoi6	s	eoi	6
𰷥	cóng	c	ong	2	cung4	c	ung	4
𰷦	fèi	f	ei	4	fai3	f	ai	3
𰷧	jìn	j	in	4	zeon2	z	eon	2
𰷩	shèng	sh	eng	4	sing6	s	ing	6
𰷪	yì	y	i	4	jat6	j	at	6
𰷫	biāo	b	iao	1	biu1	b	iu	1
𰷭	zāng	z	ang	1	zong1	z	ong	1
𰷮	xuàn	x	uan	4	jyun5	j	yun	5
𰷵	qiāo	q	iao	1	hiu1	h	iu	1
𰷶	qiáo	q	iao	2	kiu4	k	iu	4
𰸈	dié	d	ie	2	dip6	d	ip	6
𰸊	guì	g	ui	4	gwai6	gw	ai	6
𰸐	xǐ	x	i	3	saai2	s	aai	2
𰸔	lián	l	ian	2	lin4	l	in	4
𰸚	dài	d	ai	4	zai6	z	ai	6
𰸛	chì	ch	i	4	cai3	c	ai	3
𰸞	tuí	t	ui	2	teoi4	t	eoi	4
𰹀	duǒ	d	uo	3	do2	d	o	2
𰹲	wèi	w	ei	4	wai6	w	ai	6
𰹴	fàn	f	an	4	faan6	f	aan	6
𰹵	yǐ	y	i	3	ngai5	ng	ai	5
𰹶	kuáng	k	uang	2	kwong4	kw	ong	4
𰹸	tún	t	un	2	tyun4	t	yun	4
𰹺	fǎn	f	an	3	faan2	f	aan	2
𰹼	zhàn	zh	an	4	zaan6	z	aan	6
𰹽	pēng	p	eng	1	paang1	p	aang	1
𰹿	rǒng	r	ong	3	fu2	f	u	2
𰺀	dǐ	d	i	3	dai2	d	ai	2
𰺁	qú	q	u	2	keoi4	k	eoi	4
𰺂	páo	p	ao	2	pou4	p	ou	4
𰺃	duì	d	ui	4	deoi3	d	eoi	3
𰺄	gǒng	g	ong	3	gung2	g	ung	2
𰺅	jú	j	u	2	guk1	g	uk	1
𰺇	wàn	w	an	4	wun6	w	un	6
𰺈	yǐn	y	in	3	wan5	w	an	5
𰺉	qiàn	q	ian	4	sin3	s	in	3
𰺊	líng	l	ing	2	ling4	l	ing	4
𰺋	zhé	zh	e	2	zip3	z	ip	3
𰺍	guǒ	g	uo	3	gwo2	gw	o	2
𰺎	pái	p	ai	2	paai4	p	aai	4
𰺏	péng	p	eng	2	paang4	p	aang	4
𰺐	kǎn	k	an	3	ham2	h	am	2
𰺑	yuān	y	uan	1	jyun1	j	yun	1
𰺒	chuán	ch	uan	2	cyun4	c	yun	4
𰺓	fù	f	u	4	fuk1	f	uk	1
𰺖	zhēn	zh	en	1	zeon1	z	eon	1
𰺗	jiàn	j	ian	4	laam6	l	aam	6
𰺙	sè	s	e	4	sik1	s	ik	1
𰺜	fān	f	an	1	faan1	f	aan	1
𰺝	chōng	ch	ong	1	cung1	c	ung	1
𰺞	zhàn	zh	an	4	zaan6	z	aan	6
𰺟	jí	j	i	2	gik1	g	ik	1
𰺡	xiá	x	ia	2	hat6	h	at	6
𰺣	lìn	l	in	4	leon6	l	eon	6
𰺲	dàng	d	ang	4	dong6	d	ong	6
𰺷	rào	r	ao	4	jiu2	j	iu	2
𰻆	dì	d	i	4	dai6	d	ai	6
𰻡	xǔ	x	u	3	heoi2	h	eoi	2
𰻦	wéi	w	ei	2	wai4	w	ai	4
𰻮	qiāo	q	iao	1	hiu1	h	iu	1
𰻳	bì	b	i	4	bei3	b	ei	3
𰼅	yì	y	i	4	jik6	j	ik	6
𰼑	mí	m	i	2	mai4	m	ai	4
𰼻	qīng	q	ing	1	hing1	h	ing	1
𰽕	jī	j	i	1	gei1	g	ei	1
𰽖	bā	b	a	1	baat3	b	aat	3
𰽘	dì	d	i	4	dai6	d	ai	6
𰽚	kuàng	k	uang	4	kong3	k	ong	3
𰽛	qiǎo	q	iao	3	ciu2	c	iu	2
𰽜	ōu		ou	1	au1		au	1
𰽝	lì	l	i	4	lik6	l	ik	6
𰽞	è		e	4	aak3		aak	3
𰽠	zhǐ	zh	i	3	zi2	z	i	2
𰽡	rì	r	i	4	jat6	j	at	6
𰽢	xiàn	x	ian	4	jin6	j	in	6
𰽣	yǐn	y	in	3	jan6	j	an	6
𰽥	bǐng	b	ing	3	bing3	b	ing	3
𰽦	lóng	l	ong	2	lung4	l	ung	4
𰽧	pī	p	i	1	pei1	p	ei	1
𰽨	zhǎi	zh	ai	3	zaai2	z	aai	2
𰽩	kǎ	k	a	3	kaa1	k	aa	1
𰽫	shēng	sh	eng	1	sang1	s	ang	1
𰽬	hé	h	e	2	wo4	w	o	4
𰽭	gōu	g	ou	1	ngau1	ng	au	1
𰽮	fú	f	u	2	fau4	f	au	4
𰽯	zhù	zh	u	4	zyu3	z	yu	3
𰽰	bàn	b	an	4	bun6	b	un	6
𰽱	fú	f	u	2	fat6	f	at	6
𰽲	jí	j	i	2	gat1	g	at	1
𰽳	qīn	q	in	1	ham6	h	am	6
𰽴	kuǎ	k	ua	3	kwaa1	kw	aa	1
𰽵	guāng	g	uang	1	gwong1	gw	ong	1
𰽶	tóng	t	ong	2	tung4	t	ung	4
𰽷	huì	h	ui	4	wai3	w	ai	3
𰽸	pī	p	i	1	pik1	p	ik	1
𰽹	chǐ	ch	i	3	ci2	c	i	2
𰽺	guǐ	g	ui	3	gwai2	gw	ai	2
𰽼	bǐng	b	ing	3	beng2	b	eng	2
𰽾	guǒ	g	uo	3	gwo2	gw	o	2
𰽿	zhé	zh	e	2	zip3	z	ip	3
𰾀	bó	b	o	2	but6	b	ut	6
𰾁	hòng	h	ong	4	hung3	h	ung	3
𰾃	zhuó	zh	uo	2	zok6	z	ok	6
𰾄	méi	m	ei	2	mui4	m	ui	4
𰾅	hán	h	an	2	ham4	h	am	4
𰾆	yù	y	u	4	juk6	j	uk	6
𰾈	shā	sh	a	1	so1	s	o	1
𰾌	jiàn	j	ian	4	zim6	z	im	6
𰾍	biǎo	b	iao	3	biu1	b	iu	1
𰾎	pī	p	i	1	pai1	p	ai	1
𰾏	táo	t	ao	2	tou4	t	ou	4
𰾑	qiān	q	ian	1	gam1	g	am	1
𰾒	guǎn	g	uan	3	gun2	g	un	2
𰾓	tà	t	a	4	taap3	t	aap	3
𰾕	yè	y	e	4	jip6	j	ip	6
𰾖	duò	d	uo	4	do6	d	o	6
𰾗	zhēn	zh	en	1	kim4	k	im	4
𰾘	chěn	ch	en	3	zam1	z	am	1
𰾙	yú	y	u	2	jyu4	j	yu	4
𰾚	wěi	w	ei	3	wui2	w	ui	2
𰾛	jiè	j	ie	4	gaai3	g	aai	3
𰾜	duān	d	uan	1	dyun1	d	yun	1
𰾝	shēng	sh	eng	1	seng3	s	eng	3
𰾞	zōng	z	ong	1	zung1	z	ung	1
𰾟	fù	f	u	4	fuk1	f	uk	1
𰾡	hōng	h	ong	1	gwang1	gw	ang	1
𰾢	shī	sh	i	1	se4	s	e	4
𰾤	xiá	x	ia	2	haa4	h	aa	4
𰾥	kuí	k	ui	2	kwai4	kw	ai	4
𰾩	yè	y	e	4	jip6	j	ip	6
𰾪	yā	y	a	1	aa1		aa	1
𰾫	jiàn	j	ian	4	gaam3	g	aam	3
𰾬	dá	d	a	2	taap3	t	aap	3
𰾭	ài		ai	4	oi3		oi	3
𰾮	lián	l	ian	2	lim4	l	im	4
𰾯	táng	t	ang	2	tong4	t	ong	4
𰾰	cuī	c	ui	1	ceoi1	c	eoi	1
𰾱	zǒng	z	ong	3	cung1	c	ung	1
𰾲	lù	l	u	4	luk6	l	uk	6
𰾴	sī	s	i	1	si1	s	i	1
𰾶	huì	h	ui	4	wai6	w	ai	6
𰾷	zān	z	an	1	zaam1	z	aam	1
𰾸	dǐng	d	ing	3	ding2	d	ing	2
𰾹	juān	j	uan	1	zyun1	z	yun	1
𰾻	tián	t	ian	2	tin4	t	in	4
𰾼	quān	q	uan	1	cyun1	c	yun	1
𰾽	zhú	zh	u	2	suk6	s	uk	6
𰾾	niè	n	ie	4	jit6	j	it	6
𰿁	áo		ao	2	ou1		ou	1
𰿂	xū	x	u	1	seoi1	s	eoi	1
𰿃	miè	m	ie	4	mit6	m	it	6
𰿄	léi	l	ei	2	leoi4	l	eoi	4
𰿆	zuān	z	uan	1	zyun3	z	yun	3
𰿈	jiān	j	ian	1	zim1	z	im	1
𰿉	lěi	l	ei	3	leoi5	l	eoi	5
𰿨	guǎn	g	uan	3	gun2	g	un	2
𰿫	wěi	w	ei	3	wai2	w	ai	2
𰿰	zuān	z	uan	1	ni1	n	i	1
𰿳	shā	sh	a	1	saat3	s	aat	3
𰿴	yà	y	a	4	ngaat6	ng	aat	6
𰿻	xì	x	i	4	kap1	k	ap	1
𰿾	pì	p	i	4	pik1	p	ik	1
𱀑	zhì	zh	i	4	zat1	z	at	1
𱀡	fén	f	en	2	fan4	f	an	4
𱁒	duì	d	ui	4	deoi6	d	eoi	6
𱁴	bì	b	i	4	bat1	b	at	1
𱁶	qiān	q	ian	1	cin1	c	in	1
𱁷	dú	d	u	2	duk6	d	uk	6
𱁹	guì	g	ui	4	gwai6	gw	ai	6
𱁺	lóu	l	ou	2	lau4	l	au	4
𱁽	lán	l	an	2	laan4	l	aan	4
𱁾	lán	l	an	2	laan4	l	aan	4
𱂄	mèi	m	ei	4	mui6	m	ui	6
𱂅	bì	b	i	4	bei3	b	ei	3
𱂆	gé	g	e	2	gaap3	g	aap	3
𱂇	quàn	q	uan	4	hyun3	h	yun	3
𱂈	yùn	y	un	4	wan6	w	an	6
𱂉	qiào	q	iao	4	ciu3	c	iu	3
𱂊	shè	sh	e	4	sip3	s	ip	3
𱂋	dú	d	u	2	duk6	d	uk	6
𱂎	xiè	x	ie	4	haai6	h	aai	6
𱂐	yùn	y	un	4	wan6	w	an	6
𱂣	yáo	y	ao	2	jiu4	j	iu	4
𱂤	huì	h	ui	4	fui3	f	ui	3
𱂥	é		e	2	ngaak6	ng	aak	6
𱂦	pīng	p	ing	1	ping1	p	ing	1
𱂧	lèi	l	ei	4	loi6	l	oi	6
𱂨	è		e	4	aat3		aat	3
𱂫	yǎn	y	an	3	jim5	j	im	5
𱂬	kuí	k	ui	2	kwai4	kw	ai	4
𱂭	chuí	ch	ui	2	ceoi4	c	eoi	4
𱂯	cuì	c	ui	4	seoi6	s	eoi	6
𱂰	hàn	h	an	4	ham5	h	am	5
𱂱	kǎn	k	an	3	ham2	h	am	2
𱂲	sāi	s	ai	1	soi1	s	oi	1
𱂴	jiǎng	j	iang	3	gong2	g	ong	2
𱂵	kuī	k	ui	1	fui1	f	ui	1
𱂶	xìn	x	in	4	seon3	s	eon	3
𱂸	bīn	b	in	1	ban1	b	an	1
𱂺	piǎo	p	iao	3	piu5	p	iu	5
𱂻	qiáo	q	iao	2	ciu4	c	iu	4
𱃔	biāo	b	iao	1	biu1	b	iu	1
𱃕	xiā	x	ia	1	haa1	h	aa	1
𱃗	tái	t	ai	2	toi4	t	oi	4
𱃘	liè	l	ie	4	lit6	l	it	6
𱃙	liú	l	iu	2	lau4	l	au	4
𱃝	xiū	x	iu	1	haau1	h	aau	1
𱃟	xí	x	i	2	zaap6	z	aap	6
𱃠	biāo	b	iao	1	biu1	b	iu	1
𱃲	yù	y	u	4	jyu3	j	yu	3
𱃳	bó	b	o	2	bok3	b	ok	3
𱃴	fàn	f	an	4	faan6	f	aan	6
𱃺	tiǎn	t	ian	3	tim5	t	im	5
𱃼	fēn	f	en	1	ban1	b	an	1
𱃽	è		e	4	ak1		ak	1
𱃾	bù	b	u	4	bau6	b	au	6
𱃿	tán	t	an	2	daam6	d	aam	6
𱄀	fēn	f	en	1	fan1	f	an	1
𱄃	jiàn	j	ian	4	gin1	g	in	1
𱄄	huì	h	ui	4	fui3	f	ui	3
𱄆	xī	x	i	1	ci3	c	i	3
𱄈	méng	m	eng	2	mung4	m	ung	4
𱄊	zàn	z	an	4	zaan3	z	aan	3
𱄼	zhù	zh	u	4	zyu3	z	yu	3
𱄽	zhé	zh	e	2	tok3	t	ok	3
𱄿	dú	d	u	2	duk6	d	uk	6
𱅀	bǎo	b	ao	3	bou2	b	ou	2
𱅁	zhí	zh	i	2	zap1	z	ap	1
𱅂	sà	s	a	4	saap3	s	aap	3
𱅃	jù	j	u	4	geoi6	g	eoi	6
𱅄	bá	b	a	2	but6	b	ut	6
𱅅	lóng	l	ong	2	lung4	l	ung	4
𱅇	zhěn	zh	en	3	can2	c	an	2
𱅈	bì	b	i	4	bat6	b	at	6
𱅉	róng	r	ong	2	jung4	j	ung	4
𱅊	zhì	zh	i	4	zi3	z	i	3
𱅋	ěr		er	3	ji5	j	i	5
𱅏	táo	t	ao	2	tou4	t	ou	4
𱅐	bó	b	o	2	bok3	b	ok	3
𱅔	sǒng	s	ong	3	sung2	s	ung	2
𱅕	lái	l	ai	2	loi4	l	oi	4
𱅖	xuān	x	uan	1	hyun1	h	yun	1
𱅗	ě		e	3	ngo5	ng	o	5
𱅙	tuì	t	ui	4	teoi3	t	eoi	3
𱅚	shè	sh	e	4	se3	s	e	3
𱅛	tuó	t	uo	2	to4	t	o	4
𱅜	yǎo	y	ao	3	jiu5	j	iu	5
𱅝	piàn	p	ian	4	pin3	p	in	3
𱅞	xiá	x	ia	2	haa4	h	aa	4
𱅟	róu	r	ou	2	jau4	j	au	4
𱅠	hàn	h	an	4	hon6	h	on	6
𱅡	guī	g	ui	1	gwai1	gw	ai	1
𱅢	chéng	ch	eng	2	sing4	s	ing	4
𱅣	tāo	t	ao	1	tou1	t	ou	1
𱅤	pīn	p	in	1	pan1	p	an	1
𱅦	huáng	h	uang	2	wong4	w	ong	4
𱅧	xū	x	u	1	heoi1	h	eoi	1
𱅩	xí	x	i	2	zaap6	z	aap	6
