char	mandarin	mandarin_initial	mandarin_final	mandarin_tone	cantonese	cantonese_initial	cantonese_final	cantonese_tone
袂	mèi	m	ei	4	mai6	m	ai	6
袃	chài	ch	ai	4	caai3	c	aai	3
袄	ǎo		ao	3	ou2		ou	2
袅	niǎo	n	iao	3	niu5	n	iu	5
袆	huī	h	ui	1	fai1	f	ai	1
袇	rán	r	an	2	jim4	j	im	4
袈	jiā	j	ia	1	gaa1	g	aa	1
袉	tuó	t	uo	2	to4	t	o	4
袊	lǐng	l	ing	3	ling5	l	ing	5
袋	dài	d	ai	4	doi6	d	oi	6
袌	bào	b	ao	4	pou5	p	ou	5
袍	páo	p	ao	2	pou4	p	ou	4
袎	yào	y	ao	4	jau3	j	au	3
袏	zuò	z	uo	4	zo3	z	o	3
袐	bì	b	i	4	bat1	b	at	1
袑	shào	sh	ao	4	siu6	s	iu	6
袒	tǎn	t	an	3	taan2	t	aan	2
袓	jù	j	u	4	zeoi6	z	eoi	6
袔	hè	h	e	4	ho6	h	o	6
袕	xué	x	ue	2	jyut6	j	yut	6
袖	xiù	x	iu	4	zau6	z	au	6
袗	zhěn	zh	en	3	zan2	z	an	2
袘	yí	y	i	2	ji5	j	i	5
袚	bō	b	o	1	fat1	f	at	1
袛	dī	d	i	1	dai1	d	ai	1
袜	wà	w	a	4	mat6	m	at	6
袝	fù	f	u	4	fu6	f	u	6
袞	gǔn	g	un	3	gwan2	gw	an	2
袟	zhì	zh	i	4	dit6	d	it	6
袠	zhì	zh	i	4	dit6	d	it	6
袡	rán	r	an	2	jim4	j	im	4
袢	pàn	p	an	4	faan4	f	aan	4
袣	yì	y	i	4	ji3	j	i	3
袤	mào	m	ao	4	mau6	m	au	6
袥	tuō	t	uo	1	tok3	t	ok	3
袦	nà	n	a	4	neot6	n	eot	6
袧	gōu	g	ou	1	kau1	k	au	1
袨	xuàn	x	uan	4	jyun6	j	yun	6
袩	zhé	zh	e	2	dim1	d	im	1
袪	qū	q	u	1	keoi1	k	eoi	1
被	bèi	b	ei	4	bei6	b	ei	6
袭	xí	x	i	2	zaap6	z	aap	6
袮	mí	m	i	2	ji5	j	i	5
袯	bó	b	o	2	but6	b	ut	6
袰	bō	b	o	1	mou5	m	ou	5
袱	fú	f	u	2	fuk6	f	uk	6
袲	chǐ	ch	i	3	ji4	j	i	4
袳	chǐ	ch	i	3	ci2	c	i	2
袴	kù	k	u	4	fu3	f	u	3
袵	rèn	r	en	4	jam6	j	am	6
袶	jiàng	j	iang	4	gong3	g	ong	3
袷	qiā	q	ia	1	gaap3	g	aap	3
袸	jiàn	j	ian	4	zin6	z	in	6
袺	jié	j	ie	2	git3	g	it	3
袻	ér		er	2	ji4	j	i	4
袼	gē	g	e	1	gok3	g	ok	3
袽	rú	r	u	2	jyu4	j	yu	4
袾	zhū	zh	u	1	zyu1	z	yu	1
袿	guī	g	ui	1	gwai1	gw	ai	1
裀	yīn	y	in	1	jan1	j	an	1
裁	cái	c	ai	2	coi4	c	oi	4
裂	liè	l	ie	4	lit6	l	it	6
裃	kǎ	k	a	3	lung6	l	ung	6
裄	xing	x	ing	5	hang4	h	ang	4
装	zhuāng	zh	uang	1	zong1	z	ong	1
裆	dāng	d	ang	1	dong1	d	ong	1
裇	xū	x	u	1	seot1	s	eot	1
裈	kūn	k	un	1	gwan1	gw	an	1
裉	kèn	k	en	4	kang3	k	ang	3
裊	niǎo	n	iao	3	niu5	n	iu	5
裋	shù	sh	u	4	syu6	s	yu	6
裌	jiá	j	ia	2	gaap3	g	aap	3
裍	kǔn	k	un	3	kwan2	kw	an	2
裎	chéng	ch	eng	2	cing4	c	ing	4
裏	lǐ	l	i	3	leoi5	l	eoi	5
裐	juān	j	uan	1	gyun1	g	yun	1
裑	shēn	sh	en	1	san1	s	an	1
裒	póu	p	ou	2	pau4	p	au	4
裓	gé	g	e	2	gat1	g	at	1
裔	yì	y	i	4	jeoi6	j	eoi	6
裕	yù	y	u	4	jyu6	j	yu	6
裖	zhěn	zh	en	3	zan3	z	an	3
裗	liú	l	iu	2	lau4	l	au	4
裘	qiú	q	iu	2	kau4	k	au	4
裙	qún	q	un	2	kwan4	kw	an	4
裚	jì	j	i	4	zai3	z	ai	3
裛	yì	y	i	4	jap1	j	ap	1
補	bǔ	b	u	3	bou2	b	ou	2
裝	zhuāng	zh	uang	1	zong1	z	ong	1
裞	shuì	sh	ui	4	seoi3	s	eoi	3
裟	shā	sh	a	1	saa1	s	aa	1
裠	qún	q	un	2	kwan4	kw	an	4
裡	lǐ	l	i	3	leoi5	l	eoi	5
裢	lián	l	ian	2	lin4	l	in	4
裣	liǎn	l	ian	3	lim5	l	im	5
裤	kù	k	u	4	fu3	f	u	3
裥	jiǎn	j	ian	3	gaan2	g	aan	2
裦	fóu	f	ou	2	bou1	b	ou	1
裧	chān	ch	an	1	cim1	c	im	1
裨	bì	b	i	4	pei4	p	ei	4
裩	kūn	k	un	1	gwan1	gw	an	1
裪	táo	t	ao	2	tou4	t	ou	4
裫	yuàn	y	uan	4	jyun3	j	yun	3
裬	líng	l	ing	2	ling4	l	ing	4
裭	chǐ	ch	i	3	ci2	c	i	2
裮	chāng	ch	ang	1	coeng1	c	oeng	1
裯	chóu	ch	ou	2	cau4	c	au	4
裰	duō	d	uo	1	zyut3	z	yut	3
裱	biǎo	b	iao	3	biu2	b	iu	2
裲	liǎng	l	iang	3	loeng5	l	oeng	5
裳	shang	sh	ang	5	soeng4	s	oeng	4
裴	péi	p	ei	2	pui4	p	ui	4
裵	péi	p	ei	2	pui4	p	ui	4
裶	fēi	f	ei	1	fei1	f	ei	1
裷	yuān	y	uan	1	jyun1	j	yun	1
裸	luǒ	l	uo	3	lo2	l	o	2
裹	guǒ	g	uo	3	gwo2	gw	o	2
裺	yǎn	y	an	3	jim2	j	im	2
裻	dú	d	u	2	duk1	d	uk	1
裼	tì	t	i	4	sik1	s	ik	1
製	zhì	zh	i	4	zai3	z	ai	3
裾	jū	j	u	1	geoi1	g	eoi	1
裿	yǐ	y	i	3	ji2	j	i	2
褀	qí	q	i	2	gei6	g	ei	6
褁	guǒ	g	uo	3	gwo2	gw	o	2
褂	guà	g	ua	4	gwaa3	gw	aa	3
褃	kèn	k	en	4	kang3	k	ang	3
褄	qī	q	i	1	cai1	c	ai	1
褅	tì	t	i	4	tai3	t	ai	3
褆	tí	t	i	2	tai4	t	ai	4
複	fù	f	u	4	fuk1	f	uk	1
褈	chóng	ch	ong	2	cung4	c	ung	4
褉	xiè	x	ie	4	kit3	k	it	3
褊	biǎn	b	ian	3	bin2	b	in	2
褋	dié	d	ie	2	dip6	d	ip	6
褌	kūn	k	un	1	gwan1	gw	an	1
褍	duān	d	uan	1	dyun1	d	yun	1
褎	xiù	x	iu	4	zau6	z	au	6
褏	xiù	x	iu	4	zau6	z	au	6
褐	hè	h	e	4	hot3	h	ot	3
褑	yuàn	y	uan	4	jyun6	j	yun	6
褒	bāo	b	ao	1	bou1	b	ou	1
褓	bǎo	b	ao	3	bou2	b	ou	2
褔	fù	f	u	4	fu3	f	u	3
褕	yú	y	u	2	jyu4	j	yu	4
褖	tuàn	t	uan	4	teon3	t	eon	3
褗	yǎn	y	an	3	jin2	j	in	2
褘	huī	h	ui	1	fai1	f	ai	1
褙	bèi	b	ei	4	bui3	b	ui	3
褚	chǔ	ch	u	3	cyu5	c	yu	5
褛	lǚ	l	u	3	leoi5	l	eoi	5
褜	páo	p	ao	2	baau1	b	aau	1
褝	dān	d	an	1	daan1	d	aan	1
褞	yǔn	y	un	3	wan2	w	an	2
褟	tā	t	a	1	taap3	t	aap	3
褠	gōu	g	ou	1	kau1	k	au	1
褡	dā	d	a	1	daap3	d	aap	3
褢	huái	h	uai	2	waai4	w	aai	4
褣	róng	r	ong	2	jung4	j	ung	4
褤	yuàn	y	uan	4	jyun6	j	yun	6
褥	rù	r	u	4	juk6	j	uk	6
褦	nài	n	ai	4	naai6	n	aai	6
褧	jiǒng	j	iong	3	gwing2	gw	ing	2
褨	suǒ	s	uo	3	so2	s	o	2
褩	bān	b	an	1	bun1	b	un	1
褪	tuì	t	ui	4	tan3	t	an	3
褫	chǐ	ch	i	3	ci2	c	i	2
褬	sǎng	s	ang	3	song2	s	ong	2
褭	niǎo	n	iao	3	niu5	n	iu	5
褮	yīng	y	ing	1	ang1		ang	1
褯	jiè	j	ie	4	zik6	z	ik	6
褰	qiān	q	ian	1	hin1	h	in	1
褱	huái	h	uai	2	waai4	w	aai	4
褲	kù	k	u	4	fu3	f	u	3
褳	lián	l	ian	2	lin4	l	in	4
褴	lán	l	an	2	laam4	l	aam	4
褵	lí	l	i	2	lei4	l	ei	4
褶	zhě	zh	e	3	zip3	z	ip	3
褷	shī	sh	i	1	si1	s	i	1
褸	lǚ	l	u	3	leoi5	l	eoi	5
褹	yì	y	i	4	ngai6	ng	ai	6
褺	diē	d	ie	1	dip6	d	ip	6
褻	xiè	x	ie	4	sit3	s	it	3
褼	xiān	x	ian	1	sin1	s	in	1
褽	wèi	w	ei	4	wai3	w	ai	3
褾	biǎo	b	iao	3	biu2	b	iu	2
褿	cáo	c	ao	2	cou4	c	ou	4
襀	jī	j	i	1	zik1	z	ik	1
襁	qiǎng	q	iang	3	koeng5	k	oeng	5
襂	sēn	s	en	1	sam1	s	am	1
襃	bāo	b	ao	1	bou1	b	ou	1
襄	xiāng	x	iang	1	soeng1	s	oeng	1
襅	bì	b	i	4	bat1	b	at	1
襆	fú	f	u	2	fuk6	f	uk	6
襇	jiǎn	j	ian	3	gaan2	g	aan	2
襈	zhuàn	zh	uan	4	zyun6	z	yun	6
襉	jiǎn	j	ian	3	gaan3	g	aan	3
襊	cuì	c	ui	4	ceoi3	c	eoi	3
襋	jí	j	i	2	gik1	g	ik	1
襌	dān	d	an	1	daan1	d	aan	1
襍	zá	z	a	2	zaap6	z	aap	6
襎	fán	f	an	2	faan4	f	aan	4
襏	bó	b	o	2	but6	b	ut	6
襐	xiàng	x	iang	4	zoeng6	z	oeng	6
襑	xín	x	in	2	cam4	c	am	4
襒	bié	b	ie	2	bit6	b	it	6
襓	ráo	r	ao	2	jiu4	j	iu	4
襔	mǎn	m	an	3	loeng5	l	oeng	5
襕	lán	l	an	2	laan4	l	aan	4
襖	ǎo		ao	3	ou2		ou	2
襗	zé	z	e	2	zaak6	z	aak	6
襘	guì	g	ui	4	kui2	k	ui	2
襙	cào	c	ao	4	cou3	c	ou	3
襚	suì	s	ui	4	seoi6	s	eoi	6
襛	nóng	n	ong	2	nung4	n	ung	4
襜	chān	ch	an	1	cim1	c	im	1
襝	liǎn	l	ian	3	lim5	l	im	5
襞	bì	b	i	4	bik1	b	ik	1
襟	jīn	j	in	1	kam1	k	am	1
襠	dāng	d	ang	1	dong1	d	ong	1
襡	shǔ	sh	u	3	suk6	s	uk	6
襢	tǎn	t	an	3	zin3	z	in	3
襣	bì	b	i	4	bei6	b	ei	6
襤	lán	l	an	2	laam4	l	aam	4
襥	fú	f	u	2	fuk6	f	uk	6
襦	rú	r	u	2	jyu4	j	yu	4
襧	zhǐ	zh	i	3	zi2	z	i	2
襨	duì	d	ui	4	deoi3	d	eoi	3
襩	shǔ	sh	u	3	suk6	s	uk	6
襪	wà	w	a	4	mat6	m	at	6
襫	shì	sh	i	4	sik1	s	ik	1
襬	bǎi	b	ai	3	baai2	b	aai	2
襭	xié	x	ie	2	kit3	k	it	3
襮	bó	b	o	2	bok3	b	ok	3
襯	chèn	ch	en	4	can3	c	an	3
襰	lài	l	ai	4	laai6	l	aai	6
襱	lóng	l	ong	2	lung4	l	ung	4
襲	xí	x	i	2	zaap6	z	aap	6
襴	lán	l	an	2	laan4	l	aan	4
襵	zhě	zh	e	3	zip3	z	ip	3
襶	dài	d	ai	4	daai3	d	aai	3
襷	jǔ	j	u	3	geoi2	g	eoi	2
襸	zàn	z	an	4	zaan3	z	aan	3
襹	shī	sh	i	1	si1	s	i	1
襺	jiǎn	j	ian	3	gaan2	g	aan	2
襻	pàn	p	an	4	paan3	p	aan	3
襼	yì	y	i	4	ngai6	ng	ai	6
